row,zip,zip1,borough
1,10000,ZIP_10000,MANHATTAN
3,10001,ZIP_10001,MANHATTAN
5,10002,ZIP_10002,MANHATTAN
7,10003,ZIP_10003,MANHATTAN
9,10004,ZIP_10004,MANHATTAN
11,10005,ZIP_10005,MANHATTAN
13,10006,ZIP_10006,MANHATTAN
15,10007,ZIP_10007,MANHATTAN
17,10009,ZIP_10009,MANHATTAN
19,10010,ZIP_10010,MANHATTAN
21,10011,ZIP_10011,MANHATTAN
23,10012,ZIP_10012,MANHATTAN
25,10013,ZIP_10013,MANHATTAN
27,10014,ZIP_10014,MANHATTAN
29,10016,ZIP_10016,MANHATTAN
31,10017,ZIP_10017,MANHATTAN
33,10018,ZIP_10018,MANHATTAN
35,10019,ZIP_10019,MANHATTAN
37,10020,ZIP_10020,MANHATTAN
39,10021,ZIP_10021,MANHATTAN
41,10022,ZIP_10022,MANHATTAN
43,10023,ZIP_10023,MANHATTAN
45,10024,ZIP_10024,MANHATTAN
47,10025,ZIP_10025,MANHATTAN
49,10026,ZIP_10026,MANHATTAN
51,10027,ZIP_10027,MANHATTAN
53,10028,ZIP_10028,MANHATTAN
55,10029,ZIP_10029,MANHATTAN
57,10030,ZIP_10030,MANHATTAN
59,10031,ZIP_10031,MANHATTAN
61,10032,ZIP_10032,MANHATTAN
63,10033,ZIP_10033,MANHATTAN
65,10034,ZIP_10034,MANHATTAN
67,10035,ZIP_10035,MANHATTAN
69,10036,ZIP_10036,MANHATTAN
71,10037,ZIP_10037,MANHATTAN
73,10038,ZIP_10038,MANHATTAN
75,10039,ZIP_10039,MANHATTAN
77,10040,ZIP_10040,MANHATTAN
79,10041,ZIP_10041,MANHATTAN
81,10044,ZIP_10044,MANHATTAN
83,10048,ZIP_10048,MANHATTAN
85,10065,ZIP_10065,MANHATTAN
87,10069,ZIP_10069,MANHATTAN
89,10075,ZIP_10075,MANHATTAN
91,10103,ZIP_10103,MANHATTAN
93,10111,ZIP_10111,MANHATTAN
95,10112,ZIP_10112,MANHATTAN
97,10119,ZIP_10119,MANHATTAN
99,10128,ZIP_10128,MANHATTAN
101,10129,ZIP_10129,MANHATTAN
103,10153,ZIP_10153,MANHATTAN
105,10162,ZIP_10162,MANHATTAN
107,10280,ZIP_10280,MANHATTAN
109,10281,ZIP_10281,MANHATTAN
111,10282,ZIP_10282,MANHATTAN
113,10301,ZIP_10301,STATEN ISLAND
115,10302,ZIP_10302,STATEN ISLAND
117,10303,ZIP_10303,STATEN ISLAND
119,10304,ZIP_10304,STATEN ISLAND
121,10305,ZIP_10305,STATEN ISLAND
123,10306,ZIP_10306,STATEN ISLAND
125,10307,ZIP_10307,STATEN ISLAND
127,10308,ZIP_10308,STATEN ISLAND
129,10309,ZIP_10309,STATEN ISLAND
131,10310,ZIP_10310,STATEN ISLAND
133,10312,ZIP_10312,STATEN ISLAND
135,10314,ZIP_10314,STATEN ISLAND
137,10451,ZIP_10451,BRONX
139,10452,ZIP_10452,BRONX
141,10453,ZIP_10453,BRONX
143,10454,ZIP_10454,BRONX
145,10455,ZIP_10455,BRONX
147,10456,ZIP_10456,BRONX
149,10457,ZIP_10457,BRONX
151,10458,ZIP_10458,BRONX
153,10459,ZIP_10459,BRONX
155,10460,ZIP_10460,BRONX
157,10461,ZIP_10461,BRONX
159,10462,ZIP_10462,BRONX
161,10463,ZIP_10463,BRONX
164,10464,ZIP_10464,BRONX
166,10465,ZIP_10465,BRONX
168,10466,ZIP_10466,BRONX
170,10467,ZIP_10467,BRONX
172,10468,ZIP_10468,BRONX
174,10469,ZIP_10469,BRONX
176,10470,ZIP_10470,BRONX
178,10471,ZIP_10471,BRONX
180,10472,ZIP_10472,BRONX
182,10473,ZIP_10473,BRONX
184,10474,ZIP_10474,BRONX
186,10475,ZIP_10475,BRONX
188,10803,ZIP_10803,BRONX
190,11001,ZIP_11001,QUEENS
192,11004,ZIP_11004,QUEENS
194,11005,ZIP_11005,QUEENS
196,11040,ZIP_11040,QUEENS
198,11101,ZIP_11101,QUEENS
200,11102,ZIP_11102,QUEENS
202,11103,ZIP_11103,QUEENS
204,11104,ZIP_11104,QUEENS
206,11105,ZIP_11105,QUEENS
208,11106,ZIP_11106,QUEENS
210,11109,ZIP_11109,QUEENS
212,11201,ZIP_11201,BROOKLYN
214,11203,ZIP_11203,BROOKLYN
216,11204,ZIP_11204,BROOKLYN
218,11205,ZIP_11205,BROOKLYN
220,11206,ZIP_11206,BROOKLYN
222,11207,ZIP_11207,BROOKLYN
224,11208,ZIP_11208,BROOKLYN
227,11209,ZIP_11209,BROOKLYN
229,11210,ZIP_11210,BROOKLYN
231,11211,ZIP_11211,BROOKLYN
233,11212,ZIP_11212,BROOKLYN
235,11213,ZIP_11213,BROOKLYN
237,11214,ZIP_11214,BROOKLYN
239,11215,ZIP_11215,BROOKLYN
241,11216,ZIP_11216,BROOKLYN
243,11217,ZIP_11217,BROOKLYN
245,11218,ZIP_11218,BROOKLYN
247,11219,ZIP_11219,BROOKLYN
249,11220,ZIP_11220,BROOKLYN
251,11221,ZIP_11221,BROOKLYN
253,11222,ZIP_11222,BROOKLYN
255,11223,ZIP_11223,BROOKLYN
257,11224,ZIP_11224,BROOKLYN
259,11225,ZIP_11225,BROOKLYN
261,11226,ZIP_11226,BROOKLYN
263,11228,ZIP_11228,BROOKLYN
265,11229,ZIP_11229,BROOKLYN
267,11230,ZIP_11230,BROOKLYN
269,11231,ZIP_11231,BROOKLYN
271,11232,ZIP_11232,BROOKLYN
273,11233,ZIP_11233,BROOKLYN
275,11234,ZIP_11234,BROOKLYN
278,11235,ZIP_11235,BROOKLYN
280,11236,ZIP_11236,BROOKLYN
282,11237,ZIP_11237,BROOKLYN
285,11238,ZIP_11238,BROOKLYN
287,11239,ZIP_11239,BROOKLYN
289,11241,ZIP_11241,BROOKLYN
291,11242,ZIP_11242,BROOKLYN
293,11249,ZIP_11249,BROOKLYN
295,11354,ZIP_11354,QUEENS
297,11355,ZIP_11355,QUEENS
299,11356,ZIP_11356,QUEENS
301,11357,ZIP_11357,QUEENS
303,11358,ZIP_11358,QUEENS
305,11359,ZIP_11359,QUEENS
307,11360,ZIP_11360,QUEENS
309,11361,ZIP_11361,QUEENS
311,11362,ZIP_11362,QUEENS
313,11363,ZIP_11363,QUEENS
315,11364,ZIP_11364,QUEENS
317,11365,ZIP_11365,QUEENS
319,11366,ZIP_11366,QUEENS
321,11367,ZIP_11367,QUEENS
323,11368,ZIP_11368,QUEENS
325,11369,ZIP_11369,QUEENS
327,11370,ZIP_11370,QUEENS
329,11372,ZIP_11372,QUEENS
331,11373,ZIP_11373,QUEENS
333,11374,ZIP_11374,QUEENS
335,11375,ZIP_11375,QUEENS
337,11377,ZIP_11377,QUEENS
339,11378,ZIP_11378,QUEENS
341,11379,ZIP_11379,QUEENS
343,11385,ZIP_11385,BROOKLYN
346,11411,ZIP_11411,QUEENS
348,11412,ZIP_11412,QUEENS
350,11413,ZIP_11413,QUEENS
352,11414,ZIP_11414,QUEENS
354,11415,ZIP_11415,QUEENS
356,11416,ZIP_11416,QUEENS
358,11417,ZIP_11417,QUEENS
360,11418,ZIP_11418,QUEENS
362,11419,ZIP_11419,QUEENS
364,11420,ZIP_11420,QUEENS
366,11421,ZIP_11421,BROOKLYN
369,11422,ZIP_11422,QUEENS
371,11423,ZIP_11423,QUEENS
373,11426,ZIP_11426,QUEENS
375,11427,ZIP_11427,QUEENS
377,11428,ZIP_11428,QUEENS
379,11429,ZIP_11429,QUEENS
381,11430,ZIP_11430,QUEENS
383,11432,ZIP_11432,QUEENS
385,11433,ZIP_11433,QUEENS
387,11434,ZIP_11434,QUEENS
389,11435,ZIP_11435,QUEENS
391,11436,ZIP_11436,QUEENS
393,11691,ZIP_11691,QUEENS
395,11692,ZIP_11692,QUEENS
397,11693,ZIP_11693,QUEENS
399,11694,ZIP_11694,QUEENS
401,11695,ZIP_11695,QUEENS
403,11697,ZIP_11697,QUEENS
